restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
Hotel Green Kitchen,Masala Papad,,25,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Hotel Green Kitchen,Cheeser Garlic Toast,,50,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Hotel Green Kitchen,Chilly Cheese Toast ,,60,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Hotel Green Kitchen,French Fries ,,50,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Hotel Green Kitchen,Chilly Potato,,65,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Hotel Green Kitchen,Honet Chilly Potato,,70,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Hotel Green Kitchen,Chesse Balls(6Pcs),,90,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Hotel Green Kitchen,Onion Salad,,20,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,
Hotel Green Kitchen,Green Salad,,30,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Salads,,0,
Hotel Green Kitchen,Chai,,50,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Break Time,,0,
Hotel Green Kitchen,Coffee,,20,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Break Time,,0,
Hotel Green Kitchen,Cold Coffee,,60,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Break Time,,0,
Hotel Green Kitchen,Bournvita,,35,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Break Time,,0,
Hotel Green Kitchen,Horlicks,,35,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Break Time,,0,
Hotel Green Kitchen,Green Tea,,30,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Break Time,,0,
Hotel Green Kitchen,Lemon Tea,,25,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Break Time,,0,
Hotel Green Kitchen,Lassi,,45,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Break Time,,0,
Hotel Green Kitchen,Daal Chawal,,75,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice Combos,,0,
Hotel Green Kitchen,Rajma Chawal,,90,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,rajma-CHAWAL.jpg,Rice Combos,,1,
Hotel Green Kitchen,Kadhi Chawal,,80,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice Combos,,0,
Hotel Green Kitchen,Chole Chawal,,85,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice Combos,,0,
Hotel Green Kitchen,Lime Juice,,25,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,
Hotel Green Kitchen,Sharbat,,30,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,
Hotel Green Kitchen,Thandai,,45,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Beverages,,0,
Hotel Green Kitchen,Shikanji,,30,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,
Hotel Green Kitchen,Oreo Shake,,60,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,
Hotel Green Kitchen,Kitkat Shake,,60,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,
Hotel Green Kitchen,Gulab Jamun,,35,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Beverages,,0,
Hotel Green Kitchen,Dhokla(5Pcs),,30,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",0,,All Time,,0,
Hotel Green Kitchen,Poha,,40,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,All Time,,0,
Hotel Green Kitchen,Poori Sabzi,,55,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,All Time,,0,
Hotel Green Kitchen,Pav Bhaji,,55,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,PAV_BAJJI.jpg,All Time,,1,
Hotel Green Kitchen,Paneer Pav Bhaji,,60,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,All Time,,0,
Hotel Green Kitchen,Cheese Pav Bhaji,,65,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,All Time,,0,
Hotel Green Kitchen,Chola Bathura,,55,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,All Time,,0,
Hotel Green Kitchen,Paneer Chola Bathura,,65,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,All Time,,0,
Hotel Green Kitchen,Cheese Chola Bathura,,75,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,All Time,,0,
Hotel Green Kitchen,Plain Paratha,,20,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Mirch Paratha,,25,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Lacha Paratha,,30,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Methi Paratha,,25,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Pyaz Parataha,,35,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Pyaz Lehsum Paratha,,35,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Aloo Paratha,,35,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Aloo Cheese Paratha,,55,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Gobi Paratha,,40,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,GOPI_PAROOTA.jpg,Parathas,,1,
Hotel Green Kitchen,Gobi Paneer Paratha,,55,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Paneer Paratha,,50,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Paneer Achari Paratha,,55,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Cheese Paratha,,60,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Cheese Capsicum Paratha,,65,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Cheese Paneer Paratha,,65,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Cheese Corn Paratha,,65,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Mix Veg Paratha,,50,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parathas,,0,
Hotel Green Kitchen,Punjabi Thali(Kadhai Paneer+Daal Makhni+1 Lacha Paratha+Rice+Raita+Sweet,,155,5,Veg,12:01PM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,PUNJABI_THALI.jpg,Thali,,1,
Hotel Green Kitchen,"Agk,S Thali ",,80,5,Veg,12:01PM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Thali,,0,
Hotel Green Kitchen,Peanut Butter Sandwich,,45,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Veg Sandwich,,35,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Aloo Veg Sandwich,,40,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Paneer Sandwich,,50,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Veg Paneer Sandwich,,55,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Aloo Veg Paneer Sandwich,,60,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Paneer Cheese Sandwhich,,65,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Cheese Sandwhich,,55,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Veg Cheese Sandwich,,60,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Chilly Cheese Sandwich,,60,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Aloo Veg Cheese Sandwich,,65,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Chocolate Cheese Sandwich,,60,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Double Paneer Cheese Sandwich,,75,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Aloo Veg Paneer Cheese Sandwich,,80,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Dbl.Veg Aloo Paneer Cheese Sandwich,,110,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Veg Club Sandwich,,75,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Paneer Club Sandwich,,85,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Cheese Sandwich,,95,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,
Hotel Green Kitchen,Curd(Dahi),,15,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add Ons,,0,
Hotel Green Kitchen,Chaach,,20,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add Ons,,0,
Hotel Green Kitchen,Boondi Raita,,40,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add Ons,,0,
Hotel Green Kitchen,Onion Raita,,30,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add Ons,,0,
Hotel Green Kitchen,Mix Veg Raita,,45,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add Ons,,0,
Hotel Green Kitchen,Butter Cube,,15,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Add Ons,,0,
Hotel Green Kitchen,Bhindi Fry,,70,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sabzi,,0,
Hotel Green Kitchen,Aloo Jeera,,70,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sabzi,,0,
Hotel Green Kitchen,Aloo Pyaz,,70,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sabzi,,0,
Hotel Green Kitchen,Aloo Matar,,70,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sabzi,,0,
Hotel Green Kitchen,Aloo Gopi,,75,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sabzi,,0,
Hotel Green Kitchen,Dum Aloo,,75,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sabzi,,0,
Hotel Green Kitchen,Mix Veg,,85,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sabzi,,0,
Hotel Green Kitchen,Rajma Masala,,85,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sabzi,,0,
Hotel Green Kitchen,Channa Masala,,80,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sabzi,,0,
Hotel Green Kitchen,Mushroom Masala,,85,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sabzi,,0,
Hotel Green Kitchen,Kadhi,,60,5,Veg,9:45AM,9:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sabzi,,0,
