restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KVR HOTELS - GOLDEN RESTAURANT,Onion Bajji,,50,,,,10,Veg, , ,,,11.00AM,12.30PM,4.00PM,7.00PM,"1,2,3,4,5,6,7",1,,Snacks, ,0,,18,1
KVR HOTELS - GOLDEN RESTAURANT,Potato Bajji,,50,,,,10,Veg,,,,,11.00AM,12.30PM,4.00PM,7.00PM,"1,2,3,4,5,6,7",1,,Snacks,,0,,18,2
KVR HOTELS - GOLDEN RESTAURANT,Mix Veg Bajji,,50,,,,10,Veg,,,,,11.00AM,12.30PM,4.00PM,7.00PM,"1,2,3,4,5,6,7",1,,Snacks,,0,,18,3
KVR HOTELS - GOLDEN RESTAURANT,Onion Pakoda,,50,,,,10,Veg,,,,,11.00AM,12.30PM,4.00PM,7.00PM,"1,2,3,4,5,6,7",1,,Snacks,,0,,18,4
KVR HOTELS - GOLDEN RESTAURANT,Veg Pakoda,,60,,,,10,Veg,,,,,11.00AM,12.30PM,4.00PM,7.00PM,"1,2,3,4,5,6,7",1,,Snacks,,0,,18,5
KVR HOTELS - GOLDEN RESTAURANT,Chicken Pakoda,,60,,,,10,Non Veg,,,,,11.00AM,12.30PM,4.00PM,7.00PM,"1,2,3,4,5,6,7",1,,Snacks,,0,,18,6
KVR HOTELS - GOLDEN RESTAURANT,Veg Sandwich,,50,,,,10,Veg,,,,,11.00AM,12.30PM,4.00PM,7.00PM,"1,2,3,4,5,6,7",1,,Snacks,,0,,18,7
KVR HOTELS - GOLDEN RESTAURANT,Egg Sandwich,,60,,,,10,Non Veg,,,,,11.00AM,12.30PM,4.00PM,7.00PM,"1,2,3,4,5,6,7",1,,Snacks,,0,,18,8
KVR HOTELS - GOLDEN RESTAURANT,Veg Club Sandwich,,65,,,,10,Veg,,,,,11.00AM,12.30PM,4.00PM,7.00PM,"1,2,3,4,5,6,7",1,,Snacks,,0,,18,9
KVR HOTELS - GOLDEN RESTAURANT,Non Veg Club Sandwich,,75,,,,10,Non Veg,,,,,11.00AM,12.30PM,4.00PM,7.00PM,"1,2,3,4,5,6,7",1,,Snacks,,0,,18,10
KVR HOTELS - GOLDEN RESTAURANT,French Fries,,80,,,,10,Veg,,,,,11.00AM,12.30PM,4.00PM,7.00PM,"1,2,3,4,5,6,7",1,,Snacks,,0,,18,11
KVR HOTELS - GOLDEN RESTAURANT,Veg Cream Soup,,50,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
KVR HOTELS - GOLDEN RESTAURANT,Chicken Cream Soup,,75,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
KVR HOTELS - GOLDEN RESTAURANT,Tomato Shorba,,60,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
KVR HOTELS - GOLDEN RESTAURANT,Tomato Soup,,60,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,4
KVR HOTELS - GOLDEN RESTAURANT,Veg Mulligatawny Soup,,60,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,5
KVR HOTELS - GOLDEN RESTAURANT,Non Veg Mulligatawny Soup,,75,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,6
KVR HOTELS - GOLDEN RESTAURANT,Sweet Corn Veg Soup,,60,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,7
KVR HOTELS - GOLDEN RESTAURANT,Sweet Corn Chicken Soup,,75,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,8
KVR HOTELS - GOLDEN RESTAURANT,French Onion Soup Nv,,75,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,9
KVR HOTELS - GOLDEN RESTAURANT,Long Fung Soup,,75,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,10
KVR HOTELS - GOLDEN RESTAURANT,Manchow Veg Soup,,60,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,11
KVR HOTELS - GOLDEN RESTAURANT,Manchow Non Veg Soup,,75,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,12
KVR HOTELS - GOLDEN RESTAURANT,Kozhi Saaru,,75,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,13
KVR HOTELS - GOLDEN RESTAURANT,Mutton Shorba,,85,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,14
KVR HOTELS - GOLDEN RESTAURANT,Lemon Coriander Veg Soup,,60,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,15
KVR HOTELS - GOLDEN RESTAURANT,Lemon Coriander Non Veg Soup,,75,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,16
KVR HOTELS - GOLDEN RESTAURANT,Crispy Fried Vegetables,,140,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,1
KVR HOTELS - GOLDEN RESTAURANT,Gobi 65,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,2
KVR HOTELS - GOLDEN RESTAURANT,Chilli Gobi,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,3
KVR HOTELS - GOLDEN RESTAURANT,Gobi Manchurian,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,4
KVR HOTELS - GOLDEN RESTAURANT,Gobi Masala,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,5
KVR HOTELS - GOLDEN RESTAURANT,Hydrabad Gobi,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,6
KVR HOTELS - GOLDEN RESTAURANT,Gobi Pepper Fry,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,7
KVR HOTELS - GOLDEN RESTAURANT,Mushroom 65,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,8
KVR HOTELS - GOLDEN RESTAURANT,Mushroom Chilli,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,9
KVR HOTELS - GOLDEN RESTAURANT,Mushroom Munchurian,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,10
KVR HOTELS - GOLDEN RESTAURANT,Mushroom Salt & Pepper,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,11
KVR HOTELS - GOLDEN RESTAURANT,Mushroom Pepper Fry,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,12
KVR HOTELS - GOLDEN RESTAURANT,Veg Manchurian Dry,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,13
KVR HOTELS - GOLDEN RESTAURANT,Baby Corn 65,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,14
KVR HOTELS - GOLDEN RESTAURANT,Baby Corn Chilli,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,15
KVR HOTELS - GOLDEN RESTAURANT,Baby Corn Manchurian,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,16
KVR HOTELS - GOLDEN RESTAURANT,Baby Corn Salt & Pepper,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,17
KVR HOTELS - GOLDEN RESTAURANT,Baby Corn Golden Fry,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,18
KVR HOTELS - GOLDEN RESTAURANT,Veg Spring Roll,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,19
KVR HOTELS - GOLDEN RESTAURANT,Butter Vegetable,,110,,,,10,Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,20
KVR HOTELS - GOLDEN RESTAURANT,Chicken 65,,130,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,21
KVR HOTELS - GOLDEN RESTAURANT,Chicken Lolly Pop,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,22
KVR HOTELS - GOLDEN RESTAURANT,Chicken Chukka,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,23
KVR HOTELS - GOLDEN RESTAURANT,Chicken Varuval,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,24
KVR HOTELS - GOLDEN RESTAURANT,Chicken Pepper Fry,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,25
KVR HOTELS - GOLDEN RESTAURANT,Crispy Fried Chicken,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,26
KVR HOTELS - GOLDEN RESTAURANT,Chicken Spring Roll,,180,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,27
KVR HOTELS - GOLDEN RESTAURANT,Chicken Manchurian,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,28
KVR HOTELS - GOLDEN RESTAURANT,Chilli Chicken,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,29
KVR HOTELS - GOLDEN RESTAURANT,Garlic Chicken,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,30
KVR HOTELS - GOLDEN RESTAURANT,Lemon Coriander Chicken,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,31
KVR HOTELS - GOLDEN RESTAURANT,Dragon Chicken,,170,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,32
KVR HOTELS - GOLDEN RESTAURANT,Schezwan Chicken,,170,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,33
KVR HOTELS - GOLDEN RESTAURANT,Ginger Chicken,,170,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,34
KVR HOTELS - GOLDEN RESTAURANT,Mutton Chukka,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,35
KVR HOTELS - GOLDEN RESTAURANT,Mutton Pepper Fry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,36
KVR HOTELS - GOLDEN RESTAURANT,Mutton Varuval,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,37
KVR HOTELS - GOLDEN RESTAURANT,Spicy Meat Balls,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.30PM,11.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,38
