restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
REFRESH JUICE BAR (Bus Stand),Apple Juice,,70,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,1
REFRESH JUICE BAR (Bus Stand),Orange Juice ,,70,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,2
REFRESH JUICE BAR (Bus Stand),Mosambi Juice ,,70,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,3
REFRESH JUICE BAR (Bus Stand),Pomegranate Juice ,,100,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,4
REFRESH JUICE BAR (Bus Stand),Grape Juice ,,60,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,5
REFRESH JUICE BAR (Bus Stand),Pineapple Juice ,,60,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,6
REFRESH JUICE BAR (Bus Stand),Muskmelon Juice ,,60,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,7
REFRESH JUICE BAR (Bus Stand),Dates Juice ,,100,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,8
REFRESH JUICE BAR (Bus Stand),Watermelon Juice ,,50,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,9
REFRESH JUICE BAR (Bus Stand),Papaya Juice ,,50,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,10
REFRESH JUICE BAR (Bus Stand),Guava Juice ,,60,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,11
REFRESH JUICE BAR (Bus Stand),Sapota Juice ,,60,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,12
REFRESH JUICE BAR (Bus Stand),Amla Juice ,,60,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,13
REFRESH JUICE BAR (Bus Stand),Carrot Juice ,,70,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,14
REFRESH JUICE BAR (Bus Stand),Beetroot Juice ,,70,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,15
REFRESH JUICE BAR (Bus Stand),Lemon Juice ,,40,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,16
REFRESH JUICE BAR (Bus Stand),Sugarcane Juice ,,45,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,17
REFRESH JUICE BAR (Bus Stand),Mango Juice ,,60,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,18
REFRESH JUICE BAR (Bus Stand),Red Banana juice ,,50,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,19
REFRESH JUICE BAR (Bus Stand),Cucumber Juice ,,60,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,20
REFRESH JUICE BAR (Bus Stand),Seethapalam Juice ,,60,,,,5,0,Veg,8:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh juice,,0,,1,21
