restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
THE ROYAL GRAND,Green Salad ,,100,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Salads,,0,,1,1
THE ROYAL GRAND,Chef Special Salad Veg,,160,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Salads,,0,,1,1
THE ROYAL GRAND,Chef Special Chicken Salad,,180,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Salads,,0,,2,1
THE ROYAL GRAND,Chef Special Veg Soup,,150,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,3,1
THE ROYAL GRAND,Kozhi Rasam,,150,,,,0,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,4,1
THE ROYAL GRAND,NattuKozhi Rasam,,160,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,5,1
THE ROYAL GRAND,Cream of Tomato Cream Soup,,150,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,6,1
THE ROYAL GRAND,Cream of  Mushroom Cream Soup,,150,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,7,1
THE ROYAL GRAND,Cream of Veg Cream Soup,,150,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,8,1
THE ROYAL GRAND,Cream of Chicken Cream Soup,,150,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
THE ROYAL GRAND,Hot & Sour Chicken Soup,,150,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,2,2
THE ROYAL GRAND,Hot & Sour Veg Soup,,150,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,3,2
THE ROYAL GRAND,Manchow Veg Soup,,150,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,4,2
THE ROYAL GRAND,Manchow Chicken Soup,,150,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,4,2
THE ROYAL GRAND,Sweet Corn Veg Soup,,150,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
THE ROYAL GRAND,Sweet Corn Chicken Soup,,150,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,2,3
THE ROYAL GRAND,Veg Clear Soup,,150,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,3,3
THE ROYAL GRAND,Chicken Clear Soup,,150,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,4,3
THE ROYAL GRAND,French Fries,,150,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,5,3
THE ROYAL GRAND,Panner Fingers,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,6,3
THE ROYAL GRAND,Panner 65,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,8,3
THE ROYAL GRAND,Paneer Pepper Fry,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,9,3
THE ROYAL GRAND,Chilly Paneer Dry,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,10,3
THE ROYAL GRAND,Paneer Machurian Dry,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,11,3
THE ROYAL GRAND,Paneer Pepper & Salt,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,12,3
THE ROYAL GRAND,BabyCorn 65,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,12,3
THE ROYAL GRAND,BabyCorn Pepper Fry,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,13,3
THE ROYAL GRAND,BabyCorn Manchuriyan Dry,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,14,3
THE ROYAL GRAND,BabyCorn Pepper & Salt,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,15,3
THE ROYAL GRAND,Mushroom 65,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,16,3
THE ROYAL GRAND,Mushroom Pepper Fry,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,17,3
THE ROYAL GRAND,Chilly Mushroom Dry,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,3
THE ROYAL GRAND,Mushroom Manchurian Dry,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,4
THE ROYAL GRAND,Mushroom Pepper & Salt,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,4
THE ROYAL GRAND,Gobi 65,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,4
THE ROYAL GRAND,Chilly Gobi Dry,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,4
THE ROYAL GRAND,Gobi Manchuriyan Dry,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,5,4
THE ROYAL GRAND,Gobi Pepper & Salt,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,6,4
THE ROYAL GRAND,Vegtable Spring Roll,,210,,,,5,0,Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,7,4
THE ROYAL GRAND,Boiled Egg (2Nos),,150,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Egg Items,,0,,8,4
THE ROYAL GRAND,Omlette Plain,,150,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Egg Items,,0,,9,4
THE ROYAL GRAND,Masala Omlette,,150,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Egg Items,,0,,10,4
THE ROYAL GRAND,Tandoori Chicken Full,,520,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Grilled Chicken,,0,,11,4
THE ROYAL GRAND,Tandoori Chicken Half,,295,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Grilled Chicken,,0,,12,4
THE ROYAL GRAND,Tangri Kebab,,270,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,13,4
THE ROYAL GRAND,Chicken Tikka,,260,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,14,4
THE ROYAL GRAND,Chicken Sukka,,260,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,15,4
THE ROYAL GRAND,Chicken Varuval,,260,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,16,4
THE ROYAL GRAND,Chicken Kothukari Dry,,260,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,17,4
THE ROYAL GRAND,Kozhi Uppukari,,260,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,18,4
THE ROYAL GRAND,Chicken Pepper Fry,,250,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,19,4
THE ROYAL GRAND,Chicken Pallipalyam,,260,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,20,4
THE ROYAL GRAND,Chicken 65,,250,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,21,4
THE ROYAL GRAND,Chicken LollyPop (5Pcs),,270,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,22,4
THE ROYAL GRAND,Chicken Drum of Heaven (5Pcs),,280,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,23,4
THE ROYAL GRAND,Chicken Schezwan Dry,,270,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,24,4
THE ROYAL GRAND,Chicken Manchuriyan Dry,,270,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,26,4
THE ROYAL GRAND,Chicken Chilly Dry,,270,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,1,5
THE ROYAL GRAND,Ginger Chicken Dry,,270,,,,5,0,Non Veg,12:00PM,03:00PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,2,5
