restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,item_status,image,main_cat,sub_cat,recommended,ingredients
Nandhini Restaurant,Sweet Corn Veg Soup,,63,5,Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Veg Clear Soup,,63,5,Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Tomato Soup,,63,5,Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Chettinad Soup ,,63,5,Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Hot & Sour Veg Soup,,63,5,Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Veg Lemon Coriander Soup,,63,5,Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Mushroom Clear Soup,,63,5,Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Veg Noodle Soup ,,63,5,Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Veg Lung Fung Soup,,73.5,5,Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Veg Wonton Soup ,,73.5,5,Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Veg Manchow Soup,,73.5,5,Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Sweet Corn Chicken Soup ,,78.75,5,Non Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Chicken Clear Soup ,,78.75,5,Non Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Hot & Sour Chicken Soup  ,,78.75,5,Non Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Chicken Lemon Coriander Soup ,,78.75,5,Non Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Chicken Manchow Soup ,,78.75,5,Non Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Chicken Chettinad Soup,,78.75,5,Non Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Mutton Chettinad Soup,,89.25,5,Non Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Chicken Lung Fung Soup ,,89.25,5,Non Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Chicken Wonton Soup,,89.25,5,Non Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Chicken Noodle Soup,,89.25,5,Non Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Prawn Chettinad Soup,,89.25,5,Non Veg,11.30 AM,11.00 PM,1,,Soups,,0,
Nandhini Restaurant,Potato Pepper Salt,,84,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Okra Chandu Style ,,84,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Okra Stir Fry ,,84,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Veg Spring Roll,,84,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Mix Veg Pepper Salt ,,94.5,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Crispy Chilli Baby Corn ,,94.5,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Golden Fry Baby Corn ,,94.5,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Golden Fry Mushroom ,,94.5,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Crispy Fried Vegetables ,,94.5,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Crispy Honey Potato,,94.5,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Spicy Veg Balls ,,84,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Gobi Machurian Dry,,84,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Paneer Manchurian Dry,,105,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Mushroom Manchurian Dry,,94.5,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Gobi Chilly Pepper Fry ,,84,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Panner Chilly Pepper Fry ,,105,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Mushroom Chilly Pepper Fry ,,94.5,0,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Gobi 65 ,,84,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Panner 65,,84,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Mushroom 65,,84,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,French Fries,,63,5,Veg,11.30 AM,11.00 PM,1,,Appetizer ,,0,
Nandhini Restaurant,Veg Noodles,,84,5,Veg,11.30 AM,11.00 PM,1,,Noodles,,0,
Nandhini Restaurant,Gobi Noodles,,94.5,5,Veg,11.30 AM,11.00 PM,1,,Noodles,,0,
Nandhini Restaurant,Mushroom Noodles,,105,5,Veg,11.30 AM,11.00 PM,1,,Noodles,,0,
Nandhini Restaurant,Paneer Noodles,,115.5,5,Veg,11.30 AM,11.00 PM,1,,Noodles,,0,
Nandhini Restaurant,Veg Schezwan Noodles ,,94.5,5,Veg,11.30 AM,11.00 PM,1,,Noodles,,0,
Nandhini Restaurant,Mix Schezwan Noodles ,,126,5,Veg,11.30 AM,11.00 PM,1,,Noodles,,0,
