restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
THE RESIDENCY - PAVILION,Manchow Soup,,200,,,,20,20,Veg,,,,,12:30PM,3:00PM,7:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
THE RESIDENCY - PAVILION,Sweet Corn Soup,,200,,,,20,20,Veg,,,,,12:30PM,3:00PM,7:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
THE RESIDENCY - PAVILION,Sour & Pepper Soup Veg,,200,,,,20,20,Veg,,,,,12:30PM,3:00PM,7:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
THE RESIDENCY - PAVILION,Veg Clear Soup,,200,,,,20,20,Veg,,,,,12:30PM,3:00PM,7:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,4
THE RESIDENCY - PAVILION,Cream of Veg Soup,,200,,,,20,20,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,5
THE RESIDENCY - PAVILION,Cream of Mushroom Soup,,200,,,,20,20,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,6
THE RESIDENCY - PAVILION,Tomato Soup,,200,,,,20,20,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,7
THE RESIDENCY - PAVILION,Cream of Chicken Soup,,225,,,,20,20,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,8
THE RESIDENCY - PAVILION,Kozhi Malli Rasam,,225,,,,20,20,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,9
THE RESIDENCY - PAVILION,Manchow Chicken Soup,,225,,,,20,20,Non Veg,,,,,12:30PM,3:00PM,7:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,10
THE RESIDENCY - PAVILION,Sweet Corn Chicken Soup,,225,,,,20,20,Non Veg,,,,,12:30PM,3:00PM,7:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,11
THE RESIDENCY - PAVILION,Sour & Pepper Chicken Soup,,225,,,,20,20,Non Veg,,,,,12:30PM,3:00PM,7:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,12
THE RESIDENCY - PAVILION,Chicken Clear Soup,,225,,,,20,20,Non Veg,,,,,12:30PM,3:00PM,7:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,13
THE RESIDENCY - PAVILION,Idly,,120,,,,20,20,Veg,,,7:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,2,1
THE RESIDENCY - PAVILION,Vada,,120,,,,20,20,Veg,,,7:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,2,2
THE RESIDENCY - PAVILION,Dosa Plain,,130,,,,20,20,Veg,,,7:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,2,3
THE RESIDENCY - PAVILION,Dosa Masala,,150,,,,20,20,Veg,,,7:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,2,4
THE RESIDENCY - PAVILION,Dosa Onion,,150,,,,20,20,Veg,,,7:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,2,5
THE RESIDENCY - PAVILION,Dosa Podi,,150,,,,20,20,Veg,,,7:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,2,6
THE RESIDENCY - PAVILION,Dosa Ghee,,150,,,,20,20,Veg,,,7:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,2,7
THE RESIDENCY - PAVILION,Dosa Egg,,160,,,,20,20,Veg,,,7:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,2,8
THE RESIDENCY - PAVILION,Pongal Vada,,160,,,,20,20,Veg,,,7:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,2,9
THE RESIDENCY - PAVILION,Poori Bhaji,,160,,,,20,20,Veg,,,7:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,2,10
THE RESIDENCY - PAVILION,Methi Paneer Fry,,250,,,,20,20,Veg,,,,,12:30PM,3:00PM,7:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Starters Veg,,0,,3,1
THE RESIDENCY - PAVILION,Mushroom Kondattam,,250,,,,20,20,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters Veg,,0,,3,2
THE RESIDENCY - PAVILION,Baby Corn Pepper Fry,,250,,,,20,20,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters Veg,,0,,3,3
