restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SNACKOS,Veg Platter,Veg Fingers 3 Pcs + Corn & Cheese Nuggets 3 Pcs + Paneer Fingers 3 Pcs + Mushroom Fritters 2 Pcs + Fries,216,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snackos Combo,,0,,1,1
SNACKOS,Non Veg Platter,Chicken Nuggets 2 Pcs + Chicken Popcorn 4 Pcs + Chicken Fingers 2 Pcs + Chicken Wings 2 Pcs + Fries,264,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snackos Combo,,0,,1,2
SNACKOS,Fried Chicken Combo,Fried Chicken 2 Pcs + Chicken Fingers 4 Pcs + Fries + Mojito 2 Nos,336,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snackos Combo,,0,,1,3
SNACKOS,BBQ Chicken Leg 2 Pcs,,144,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ Grill,,0,,2,1
SNACKOS,BBQ Chicken Wings 4 Pcs,,144,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ Grill,,0,,2,2
SNACKOS,BBQ Chicken Breast Full,,156,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ Grill,,0,,2,3
SNACKOS,Fried Chicken Leg Jumbo 2 Pcs,,192,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,BBQ Grill,,0,,2,4
SNACKOS,Creamy Veg Pasta,,108,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,3,1
SNACKOS,Creamy Chicken Pasta,,132,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,3,2
SNACKOS,Spicy Arabiatta Veg Pasta,,108,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,3,3
SNACKOS,Spicy Arabiatta Chicken Pasta,,132,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,3,4
SNACKOS,Veg Curried Pasta,,108,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,3,5
SNACKOS,Chicken Curried Pasta,,132,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,3,6
SNACKOS,Herb Cream Veg Pasta,,108,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,3,7
SNACKOS,Herb Cream Chicken Pasta,,132,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,3,8
SNACKOS,Margheritta Veg Pasta,,108,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,3,9
SNACKOS,Margheritta Chicken Pasta,,132,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,3,10
SNACKOS,Snackos Cheesy Veg Pasta,,144,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,3,11
SNACKOS,Snackos Cheesy Chicken Pasta,,168,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,3,12
