restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
Hart Lounge,Shawarma Roll,,70,5,Non Veg,,,,,,,12:00PM,10:30PM,"1,2,3,4,5,6,7",1,shawarma-roll.jpeg,Shawarma,,1,
Hart Lounge,Mexican Shawarma Roll,,80,5,Non Veg,,,,,,,12:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Shawarma,,0,
Hart Lounge,Special Shawarma Roll,,90,5,Non Veg,,,,,,,12:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Shawarma,,0,
Hart Lounge,Mx Special Shawarma Roll,,100,5,Non Veg,,,,,,,12:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Shawarma,,0,
Hart Lounge,Extra Kuboos,,10,5,Veg,,,,,,,12:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Bread,,0,
Hart Lounge,Shawarma Plate,,80,5,Non Veg,,,,,,,12:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Shawarma,,0,
Hart Lounge,Mexican Shawarma Plate,,90,5,Non Veg,,,,,,,12:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Shawarma,,0,
Hart Lounge,Special Shawarma Plate,,100,5,Non Veg,,,,,,,12:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Shawarma,,0,
Hart Lounge,Mx Special Shawarma Plate,,110,5,Non Veg,,,,,,,12:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Shawarma,,0,
Hart Lounge,Grill Shavaya Chicken Half,,220,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Arabian Grilled,,0,
Hart Lounge,Bbq Spicy Chicken Half,,230,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Barbaque,,0,
Hart Lounge,Afgani Bbq Chicken Half,,240,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,Afgani_Bbq_Chicken_HalF.jpeg,Barbaque,,1,
Hart Lounge,Alfaham Dajai Half,,230,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Alfaham,,0,
Hart Lounge,Grill Shavaya Chicken Full,,420,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,Grill Shavaya Chicken Full.jpeg,Arabian Grilled,,1,
Hart Lounge,Bbq Spicy Chicken Full,,450,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Barbaque,,0,
Hart Lounge,Afgani Bbq Chicken Full,,460,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Barbaque,,0,
Hart Lounge,Alfaham Dajai Full,,450,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Alfaham,,0,
Hart Lounge,Bbq Fish Plate,,200,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Barbaque,,0,
Hart Lounge,Alfaham Fish Plate,,200,5,Non Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Alfaham-Starters,,0,
Hart Lounge,Bbq Paneer Tikka,,100,5,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,Bbq Paneer Tikka.jpeg,Barbaque-Starters,,1,
Hart Lounge,Paneer Manjurian,,80,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Barbaque-Starters,,0,
Hart Lounge,Chilly Chicken Dry,,100,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Barbaque-Starters,,0,
Hart Lounge,Chicken Lolly Pop,,100,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Barbaque-Starters,,0,
Hart Lounge,Veg Fried Rice,,60,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
Hart Lounge,Chicken Fried Rice,,80,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,Chicken Fried Rice.jpeg,Fried Rice,,1,
Hart Lounge,Egg Fried Rice,,70,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
Hart Lounge,Veg Fried Rice,,70,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Schezwan Fried Rice,,0,
Hart Lounge,Chicken Fried Rice,,100,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Schezwan Fried Rice,,0,
Hart Lounge,Paneer Fried Rice,,70,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Schezwan Fried Rice,,0,
Hart Lounge,Egg Fried Rice,,80,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Schezwan Fried Rice,,0,
Hart Lounge,Veg Spicy Arrabiata Pasta,,120,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Pasta,,0,
Hart Lounge,Veg Cream Cheese Pasta,,120,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Pasta,,0,
Hart Lounge,Chicken Spicy Arrabiata Pasta,,140,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,Chicken Spicy Arrabiata Pasta.jpeg,Pasta,,1,
Hart Lounge,Chicken Cream Cheese Pasta,,160,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Pasta,,0,
Hart Lounge,French Fries,,50,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Hart Lounge,Potato Veggies,,50,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,potato veggies.jpeg,Starters,,1,
Hart Lounge,Smileys,,40,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Hart Lounge,Spicy French Fries,,55,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Hart Lounge,Veg Burger,,40,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
